x;y;y;y;dati.t
1;NA;NA;1511,345572;NA
2;NA;NA;1507,845368;NA
3;NA;NA;1504,345164;NA
4;NA;NA;1500,84496;NA
5;NA;NA;1497,344756;NA
6;NA;NA;1493,844552;NA
7;NA;NA;1490,344347;NA
8;NA;NA;1486,844143;NA
9;NA;NA;1483,343939;NA
10;NA;NA;1479,843735;NA
11;NA;NA;1476,343531;NA
12;NA;NA;1472,843327;NA
13;5183,656281;1514,845777;1469,343122;0
14;4472,128336;1511,345572;1465,842918;1
15;4161,620252;1507,845368;1462,342714;2
16;3472,571537;1504,345164;1458,84251;3
17;5579,033604;1500,84496;1455,342306;4
18;2439,40379;1497,344756;1451,842101;5
19;1986,852221;1493,844552;1448,341897;6
20;3201,570901;1490,344347;1444,841693;7
21;2982,765231;1486,844143;1441,341489;8
22;1377,278041;1483,343939;1437,841285;9
23;1989,77934;1479,843735;1434,341081;10
24;1649,820209;1476,343531;1430,840876;11
25;1312,959202;1472,843327;1427,340672;12
26;2192,036946;1469,343122;1423,840468;13
27;1765,082707;1465,842918;1420,340264;14
28;-531,392552;1462,342714;1416,84006;15
29;1687,109999;1458,84251;1413,339855;16
30;1742,726755;1455,342306;1409,839651;17
31;1863,340931;1451,842101;1406,339447;18
32;1920,955547;1448,341897;1402,839243;19
33;-1413,051028;1444,841693;1399,339039;20
34;3905,984427;1441,341489;1395,838835;21
35;1248,23916;1437,841285;1392,33863;22
36;-1415,732078;1434,341081;1388,838426;23
37;2481,625424;1430,840876;1385,338222;24
38;-895,859949;1427,340672;1381,838018;25
39;-2146,256787;1423,840468;1378,337814;26
40;1411,024749;1420,340264;1374,83761;27
41;-543,613831;1416,84006;1371,337405;28
42;-1068,409239;1413,339855;1367,837201;29
43;1224,594645;1409,839651;1364,336997;30
44;-1576,994093;1406,339447;1360,836793;31
45;610,982569;1402,839243;1357,336589;32
46;253,687351;1399,339039;1353,836384;33
47;-1116,254051;1395,838835;1350,33618;34
48;1415,974437;1392,33863;1346,835976;35
49;209,801072;1388,838426;1343,335772;36
50;970,852478;1385,338222;1339,835568;37
51;395,457991;1381,838018;1336,335364;38
52;626,541208;1378,337814;1332,835159;39
53;80,864433;1374,83761;1329,334955;40
54;501,548121;1371,337405;1325,834751;41
55;511,967118;1367,837201;1322,334547;42
56;-708,622394;1364,336997;1318,834343;43
57;2374,370144;1360,836793;1315,334139;44
58;1105,305193;1357,336589;1311,833934;45
59;554,075369;1353,836384;1308,33373;46
60;2015,660067;1350,33618;1304,833526;47
61;-1283,85224;1346,835976;1301,333322;48
62;1066,849647;1343,335772;1297,833118;49
63;3005,960592;1339,835568;1294,332913;50
64;2647,622651;1336,335364;1290,832709;51
65;453,777704;1332,835159;1287,332505;52
66;2750,863672;1329,334955;1283,832301;53
67;2333,639731;1325,834751;1280,332097;54
68;30,155395;1322,334547;1276,831893;55
69;226,602411;1318,834343;1273,331688;56
70;-698,433926;1315,334139;1269,831484;57
71;2010,50922;1311,833934;1266,33128;58
72;877,177613;1308,33373;1262,831076;59
73;-794,005571;1304,833526;1259,330872;60
74;1127,108181;1301,333322;1255,830668;61
75;-195,663101;1297,833118;1252,330463;62
76;-217,720275;1294,332913;1248,830259;63
77;951,186919;1290,832709;1245,330055;64
78;-17,052389;1287,332505;1241,829851;65
79;-2924,454744;1283,832301;1238,329647;66
80;2997,128653;1280,332097;1234,829442;67
81;1202,010367;1276,831893;1231,329238;68
82;-927,965814;1273,331688;1227,829034;69
83;1934,203998;1269,831484;1224,32883;70
84;1842,847381;1266,33128;1220,828626;71
85;3900,335619;1262,831076;1217,328422;72
86;847,238387;1259,330872;1213,828217;73
87;5236,110338;1255,830668;1210,328013;74
88;-954,802279;1252,330463;1206,827809;75
89;4994,464315;1248,830259;1203,327605;76
90;3112,614276;1245,330055;1199,827401;77
91;1927,143212;1241,829851;1196,327197;78
92;2445,39985;1238,329647;1192,826992;79
93;1991,406653;1234,829442;1189,326788;80
94;4107,649055;1231,329238;1185,826584;81
95;3670,986687;1227,829034;1182,32638;82
96;581,574824;1224,32883;1178,826176;83
97;3037,461315;1220,828626;1175,325971;84
98;1467,750064;1217,328422;1171,825767;85
99;-561,13859;1213,828217;1168,325563;86
100;2453,296545;1210,328013;1164,825359;87
101;-386,787063;1206,827809;1161,325155;88
102;2694,321409;1203,327605;1157,824951;89
103;2966,866002;1199,827401;1154,324746;90
104;1356,704386;1196,327197;1150,824542;91
105;-909,777449;1192,826992;1147,324338;92
106;4123,267213;1189,326788;1143,824134;93
107;744,918263;1185,826584;1140,32393;94
108;-790,497545;1182,32638;1136,823726;95
109;1292,280955;1178,826176;1133,323521;96
110;1498,015877;1175,325971;1129,823317;97
111;189,790212;1171,825767;1126,323113;98
112;2268,327818;1168,325563;1122,822909;99
113;3367,745323;1164,825359;1119,322705;100
114;-1218,247006;1161,325155;1115,8225;101
115;2922,302877;1157,824951;1112,322296;102
116;-901,206077;1154,324746;1108,822092;103
117;2604,953873;1150,824542;1105,321888;104
118;2309,56481;1147,324338;1101,821684;105
119;-1012,094745;1143,824134;1098,32148;106
120;1705,234555;1140,32393;1094,821275;107
121;410,77441;1136,823726;1091,321071;108
122;2293,805161;1133,323521;1087,820867;109
123;-6233,313901;-13043,29387;1084,320663;110
124;-16689,33187;-10946,49406;1080,820459;111
125;-13436,96793;-8849,694246;1077,320255;112
126;-5293,897013;-6752,894432;1073,82005;113
127;-3976,566656;-4656,094618;1070,319846;114
128;-2091,939012;-2559,294804;1066,819642;115
129;451,755363;-462,4949901;1063,319438;116
