"";"VAR";"tend"
"1";20978,917235;NA
"2";25152,777979;NA
"3";30178,643027;NA
"4";27606,782417;NA
"5";27965,977487;NA
"6";30210,035448;NA
"7";33339,80336;NA
"8";21043,263122;NA
"9";30012,858033;NA
"10";30754,064009;NA
"11";30450,113688;NA
"12";29714,116305;NA
"13";26162,573516;5183,656281
"14";29624,906315;4472,128336
"15";34340,263279;4161,620252
"16";31079,353954;3472,571537
"17";33545,011091;5579,033604
"18";32649,439238;2439,40379
"19";35326,655581;1986,852221
"20";24244,834023;3201,570901
"21";32995,623264;2982,765231
"22";32131,34205;1377,278041
"23";32439,893028;1989,77934
"24";31363,936514;1649,820209
"25";27475,532718;1312,959202
"26";31816,943261;2192,036946
"27";36105,345986;1765,082707
"28";30547,961402;-531,392551999998
"29";35232,12109;1687,109999
"30";34392,165993;1742,726755
"31";37189,996512;1863,340931
"32";26165,78957;1920,955547
"33";31582,572236;-1413,051028
"34";36037,326477;3905,984427
"35";33688,132188;1248,23916
"36";29948,204436;-1415,732078
"37";29957,158142;2481,625424
"38";30921,083312;-895,859949000002
"39";33959,089199;-2146,256787
"40";31958,986151;1411,024749
"41";34688,507259;-543,613831000002
"42";33323,756754;-1068,409239
"43";38414,591157;1224,594645
"44";24588,795477;-1576,994093
"45";32193,554805;610,982569
"46";36291,013828;253,687351
"47";32571,878137;-1116,254051
"48";31364,178873;1415,974437
"49";30166,959214;209,801071999998
"50";31891,93579;970,852478000001
"51";34354,54719;395,457990999996
"52";32585,527359;626,541207999999
"53";34769,371692;80,8644330000025
"54";33825,304875;501,548121
"55";38926,558275;511,967118
"56";23880,173083;-708,622393999998
"57";34567,924949;2374,370144
"58";37396,319021;1105,305193
"59";33125,953506;554,075368999998
"60";33379,83894;2015,660067
"61";28883,106974;-1283,85224
"62";32958,785437;1066,849647
"63";37360,507782;3005,960592
"64";35233,15001;2647,622651
"65";35223,149396;453,777704
"66";36576,168547;2750,863672
"67";41260,198006;2333,639731
"68";23910,328478;30,155394999998
"69";34794,52736;226,602411
"70";36697,885095;-698,433926000005
"71";35136,462726;2010,50922
"72";34257,016553;877,177613
"73";28089,101403;-794,005570999998
"74";34085,893618;1127,108181
"75";37164,844681;-195,663100999998
"76";35015,429735;-217,720275
"77";36174,336315;951,186919
"78";36559,116158;-17,052389000004
"79";38335,743262;-2924,454744
"80";26907,457131;2997,128653
"81";35996,537727;1202,010367
"82";35769,919281;-927,965813999996
"83";37070,666724;1934,203998
"84";36099,863934;1842,847381
"85";31989,437022;3900,335619
"86";34933,132005;847,238386999998
"87";42400,955019;5236,110338
"88";34060,627456;-954,802278999996
"89";41168,80063;4994,464315
"90";39671,730434;3112,614276
"91";40262,886474;1927,143212
"92";29352,856981;2445,39985
"93";37987,94438;1991,406653
"94";39877,568336;4107,64905499999
"95";40741,653411;3670,986687
"96";36681,438758;581,574823999996
"97";35026,898337;3037,461315
"98";36400,882069;1467,750064
"99";41839,816429;-561,138590000002
"100";36513,924001;2453,296545
"101";40782,013567;-386,787062999996
"102";42366,051843;2694,321409
"103";43229,752476;2966,866002
"104";30709,561367;1356,704386
"105";37078,166931;-909,777449000001
"106";44000,835549;4123,26721300001
"107";41486,571674;744,918263
"108";35890,941213;-790,497544999998
"109";36319,179292;1292,280955
"110";37898,897946;1498,015877
"111";42029,606641;189,790212
"112";38782,251819;2268,327818
"113";44149,75889;3367,745323
"114";41147,804837;-1218,247006
"115";46152,055353;2922,302877
"116";29808,35529;-901,206076999999
"117";39683,120804;2604,953873
"118";46310,400359;2309,56481
"119";40474,476929;-1012,094745
"120";37596,175768;1705,234555
"121";36729,953702;410,774409999998
"122";40192,703107;2293,805161
"123";35796,29274;-6233,313901
"124";22092,919946;-16689,331873
"125";30712,79096;-13436,96793
"126";35853,907824;-5293,897013
"127";42175,488697;-3976,566656
"128";27716,416278;-2091,939012
"129";40134,876167;451,755363000004
