"";"d.tend";"d.pred";"d.pred_c";"dati.t"
"1";NA;NA;1511,34557244588;NA
"2";NA;NA;1507,84536826915;NA
"3";NA;NA;1504,34516409242;NA
"4";NA;NA;1500,84495991569;NA
"5";NA;NA;1497,34475573896;NA
"6";NA;NA;1493,84455156223;NA
"7";NA;NA;1490,34434738551;NA
"8";NA;NA;1486,84414320878;NA
"9";NA;NA;1483,34393903205;NA
"10";NA;NA;1479,84373485532;NA
"11";NA;NA;1476,34353067859;NA
"12";NA;NA;1472,84332650186;NA
"13";5183,656281;1514,8457766226;1469,34312232514;0
"14";4472,128336;1511,34557244588;1465,84291814841;1
"15";4161,620252;1507,84536826915;1462,34271397168;2
"16";3472,571537;1504,34516409242;1458,84250979495;3
"17";5579,033604;1500,84495991569;1455,34230561822;4
"18";2439,40379;1497,34475573896;1451,84210144149;5
"19";1986,852221;1493,84455156223;1448,34189726477;6
"20";3201,570901;1490,34434738551;1444,84169308804;7
"21";2982,765231;1486,84414320878;1441,34148891131;8
"22";1377,278041;1483,34393903205;1437,84128473458;9
"23";1989,77934;1479,84373485532;1434,34108055785;10
"24";1649,820209;1476,34353067859;1430,84087638112;11
"25";1312,959202;1472,84332650186;1427,3406722044;12
"26";2192,036946;1469,34312232514;1423,84046802767;13
"27";1765,082707;1465,84291814841;1420,34026385094;14
"28";-531,392551999998;1462,34271397168;1416,84005967421;15
"29";1687,109999;1458,84250979495;1413,33985549748;16
"30";1742,726755;1455,34230561822;1409,83965132075;17
"31";1863,340931;1451,84210144149;1406,33944714403;18
"32";1920,955547;1448,34189726477;1402,8392429673;19
"33";-1413,051028;1444,84169308804;1399,33903879057;20
"34";3905,984427;1441,34148891131;1395,83883461384;21
"35";1248,23916;1437,84128473458;1392,33863043711;22
"36";-1415,732078;1434,34108055785;1388,83842626038;23
"37";2481,625424;1430,84087638112;1385,33822208366;24
"38";-895,859949000002;1427,3406722044;1381,83801790693;25
"39";-2146,256787;1423,84046802767;1378,3378137302;26
"40";1411,024749;1420,34026385094;1374,83760955347;27
"41";-543,613831000002;1416,84005967421;1371,33740537674;28
"42";-1068,409239;1413,33985549748;1367,83720120001;29
"43";1224,594645;1409,83965132075;1364,33699702329;30
"44";-1576,994093;1406,33944714403;1360,83679284656;31
"45";610,982569;1402,8392429673;1357,33658866983;32
"46";253,687351;1399,33903879057;1353,8363844931;33
"47";-1116,254051;1395,83883461384;1350,33618031637;34
"48";1415,974437;1392,33863043711;1346,83597613964;35
"49";209,801071999998;1388,83842626038;1343,33577196292;36
"50";970,852478000001;1385,33822208366;1339,83556778619;37
"51";395,457990999996;1381,83801790693;1336,33536360946;38
"52";626,541207999999;1378,3378137302;1332,83515943273;39
"53";80,8644330000025;1374,83760955347;1329,334955256;40
"54";501,548121;1371,33740537674;1325,83475107927;41
"55";511,967118;1367,83720120001;1322,33454690254;42
"56";-708,622393999998;1364,33699702329;1318,83434272582;43
"57";2374,370144;1360,83679284656;1315,33413854909;44
"58";1105,305193;1357,33658866983;1311,83393437236;45
"59";554,075368999998;1353,8363844931;1308,33373019563;46
"60";2015,660067;1350,33618031637;1304,8335260189;47
"61";-1283,85224;1346,83597613964;1301,33332184217;48
"62";1066,849647;1343,33577196292;1297,83311766545;49
"63";3005,960592;1339,83556778619;1294,33291348872;50
"64";2647,622651;1336,33536360946;1290,83270931199;51
"65";453,777704;1332,83515943273;1287,33250513526;52
"66";2750,863672;1329,334955256;1283,83230095853;53
"67";2333,639731;1325,83475107927;1280,3320967818;54
"68";30,155394999998;1322,33454690254;1276,83189260508;55
"69";226,602411;1318,83434272582;1273,33168842835;56
"70";-698,433926000005;1315,33413854909;1269,83148425162;57
"71";2010,50922;1311,83393437236;1266,33128007489;58
"72";877,177613;1308,33373019563;1262,83107589816;59
"73";-794,005570999998;1304,8335260189;1259,33087172143;60
"74";1127,108181;1301,33332184217;1255,83066754471;61
"75";-195,663100999998;1297,83311766545;1252,33046336798;62
"76";-217,720275;1294,33291348872;1248,83025919125;63
"77";951,186919;1290,83270931199;1245,33005501452;64
"78";-17,052389000004;1287,33250513526;1241,82985083779;65
"79";-2924,454744;1283,83230095853;1238,32964666106;66
"80";2997,128653;1280,3320967818;1234,82944248434;67
"81";1202,010367;1276,83189260508;1231,32923830761;68
"82";-927,965813999996;1273,33168842835;1227,82903413088;69
"83";1934,203998;1269,83148425162;1224,32882995415;70
"84";1842,847381;1266,33128007489;1220,82862577742;71
"85";3900,335619;1262,83107589816;1217,32842160069;72
"86";847,238386999998;1259,33087172143;1213,82821742397;73
"87";5236,110338;1255,83066754471;1210,32801324724;74
"88";-954,802278999996;1252,33046336798;1206,82780907051;75
"89";4994,464315;1248,83025919125;1203,32760489378;76
"90";3112,614276;1245,33005501452;1199,82740071705;77
"91";1927,143212;1241,82985083779;1196,32719654032;78
"92";2445,39985;1238,32964666106;1192,8269923636;79
"93";1991,406653;1234,82944248434;1189,32678818687;80
"94";4107,64905499999;1231,32923830761;1185,82658401014;81
"95";3670,986687;1227,82903413088;1182,32637983341;82
"96";581,574823999996;1224,32882995415;1178,82617565668;83
"97";3037,461315;1220,82862577742;1175,32597147995;84
"98";1467,750064;1217,32842160069;1171,82576730323;85
"99";-561,138590000002;1213,82821742397;1168,3255631265;86
"100";2453,296545;1210,32801324724;1164,82535894977;87
"101";-386,787062999996;1206,82780907051;1161,32515477304;88
"102";2694,321409;1203,32760489378;1157,82495059631;89
"103";2966,866002;1199,82740071705;1154,32474641958;90
"104";1356,704386;1196,32719654032;1150,82454224286;91
"105";-909,777449000001;1192,8269923636;1147,32433806613;92
"106";4123,26721300001;1189,32678818687;1143,8241338894;93
"107";744,918263;1185,82658401014;1140,32392971267;94
"108";-790,497544999998;1182,32637983341;1136,82372553594;95
"109";1292,280955;1178,82617565668;1133,32352135921;96
"110";1498,015877;1175,32597147995;1129,82331718249;97
"111";189,790212;1171,82576730323;1126,32311300576;98
"112";2268,327818;1168,3255631265;1122,82290882903;99
"113";3367,745323;1164,82535894977;1119,3227046523;100
"114";-1218,247006;1161,32515477304;1115,82250047557;101
"115";2922,302877;1157,82495059631;1112,32229629884;102
"116";-901,206076999999;1154,32474641958;1108,82209212212;103
"117";2604,953873;1150,82454224286;1105,32188794539;104
"118";2309,56481;1147,32433806613;1101,82168376866;105
"119";-1012,094745;1143,8241338894;1098,32147959193;106
"120";1705,234555;1140,32392971267;1094,8212754152;107
"121";410,774409999998;1136,82372553594;1091,32107123847;108
"122";2293,805161;1133,32352135921;1087,82086706175;109
"123";-6233,313901;-13043,2938732857;1084,32066288502;110
"124";-16689,331873;-10946,4940594286;1080,82045870829;111
"125";-13436,96793;-8849,69424557143;1077,32025453156;112
"126";-5293,897013;-6752,89443171429;1073,82005035483;113
"127";-3976,566656;-4656,09461785714;1070,3198461781;114
"128";-2091,939012;-2559,294804;1066,81964200137;115
"129";451,755363000004;-462,494990142855;1063,31943782465;116
