x;y
1;NA
2;NA
3;NA
4;NA
5;NA
6;NA
7;NA
8;NA
9;NA
10;NA
11;NA
12;NA
13;5183.656281
14;4472.128336
15;4161.620252
16;3472.571537
17;5579.033604
18;2439.40379
19;1986.852221
20;3201.570901
21;2982.765231
22;1377.278041
23;1989.77934
24;1649.820209
25;1312.959202
26;2192.036946
27;1765.082707
28;-531.392552
29;1687.109999
30;1742.726755
31;1863.340931
32;1920.955547
33;-1413.051028
34;3905.984427
35;1248.23916
36;-1415.732078
37;2481.625424
38;-895.859949
39;-2146.256787
40;1411.024749
41;-543.613831
42;-1068.409239
43;1224.594645
44;-1576.994093
45;610.982569
46;253.687351
47;-1116.254051
48;1415.974437
49;209.801072
50;970.852478
51;395.457991
52;626.541208
53;80.864433
54;501.548121
55;511.967118
56;-708.622394
57;2374.370144
58;1105.305193
59;554.075369
60;2015.660067
61;-1283.85224
62;1066.849647
63;3005.960592
64;2647.622651
65;453.777704
66;2750.863672
67;2333.639731
68;30.155395
69;226.602411
70;-698.433926
71;2010.50922
72;877.177613
73;-794.005571
74;1127.108181
75;-195.663101
76;-217.720275
77;951.186919
78;-17.052389
79;-2924.454744
80;2997.128653
81;1202.010367
82;-927.965814
83;1934.203998
84;1842.847381
85;3900.335619
86;847.238387
87;5236.110338
88;-954.802279
89;4994.464315
90;3112.614276
91;1927.143212
92;2445.39985
93;1991.406653
94;4107.649055
95;3670.986687
96;581.574824
97;3037.461315
98;1467.750064
99;-561.13859
100;2453.296545
101;-386.787063
102;2694.321409
103;2966.866002
104;1356.704386
105;-909.777449
106;4123.267213
107;744.918263
108;-790.497545
109;1292.280955
110;1498.015877
111;189.790212
112;2268.327818
113;3367.745323
114;-1218.247006
115;2922.302877
116;-901.206077
117;2604.953873
118;2309.56481
119;-1012.094745
120;1705.234555
121;410.77441
122;2293.805161
123;-6233.313901
124;-16689.33187
125;-13436.96793
126;-5293.897013
127;-3976.566656
128;-2091.939012
129;451.755363
